iter	Passed	Remaining
0	8	8724
1	22	11403
2	37	12593
3	51	12809
4	62	12442
5	72	12009
6	81	11531
7	89	11077
8	97	10720
9	104	10389
10	112	10116
11	121	9962
12	129	9805
13	137	9684
14	144	9521
15	153	9426
16	161	9317
17	168	9216
18	177	9141
19	185	9067
20	192	8965
21	200	8904
22	207	8826
23	215	8782
24	223	8722
25	232	8691
26	239	8625
27	247	8583
28	254	8527
29	262	8488
30	269	8437
31	278	8419
32	286	8383
33	294	8359
34	301	8322
35	309	8299
36	317	8259
37	325	8238
38	332	8204
39	340	8182
40	348	8160
41	356	8138
42	364	8105
43	371	8078
44	379	8057
45	387	8043
46	396	8040
47	404	8022
48	412	8011
49	420	7993
50	428	7964
51	435	7940
52	443	7918
53	450	7898
54	458	7881
55	466	7864
56	474	7842
57	481	7820
58	488	7795
59	495	7769
60	503	7757
61	511	7733
62	519	7719
63	526	7705
64	535	7704
65	543	7689
66	551	7675
67	558	7657
68	566	7642
69	573	7621
70	581	7607
71	589	7596
72	597	7584
73	604	7569
74	613	7561
75	620	7539
76	628	7529
77	635	7514
78	643	7499
79	650	7483
80	658	7467
81	664	7442
82	672	7431
83	679	7409
84	686	7393
85	694	7381
86	702	7369
87	709	7353
88	715	7328
89	722	7309
90	730	7298
91	738	7286
92	745	7271
93	752	7252
94	759	7237
95	766	7218
96	774	7209
97	781	7190
98	789	7187
99	796	7170
100	805	7167
101	811	7146
102	818	7130
103	824	7106
104	831	7087
105	838	7073
106	845	7053
107	852	7039
108	858	7020
109	865	7004
110	872	6987
111	879	6970
112	886	6959
113	892	6938
114	899	6921
115	906	6905
116	912	6890
117	919	6876
118	926	6857
119	932	6841
120	939	6828
121	946	6814
122	953	6800
123	960	6785
124	967	6773
125	974	6756
126	981	6745
127	987	6728
128	995	6718
129	1001	6703
130	1008	6688
131	1015	6676
132	1022	6666
133	1030	6661
134	1038	6651
135	1046	6646
136	1053	6636
137	1061	6629
138	1069	6627
139	1078	6626
140	1086	6619
141	1093	6606
142	1101	6599
143	1108	6591
144	1116	6584
145	1124	6577
146	1132	6569
147	1140	6564
148	1147	6552
149	1155	6545
150	1162	6534
151	1169	6522
152	1176	6512
153	1184	6504
154	1191	6496
155	1198	6483
156	1206	6477
157	1213	6466
158	1220	6456
159	1227	6445
160	1234	6432
161	1241	6420
162	1248	6408
163	1255	6397
164	1261	6384
165	1269	6375
166	1275	6364
167	1282	6351
168	1289	6339
169	1296	6329
170	1303	6317
171	1309	6305
172	1317	6296
173	1323	6284
174	1330	6273
175	1338	6265
176	1344	6253
177	1352	6244
178	1358	6232
179	1365	6222
180	1373	6215
181	1381	6208
182	1388	6198
183	1395	6190
184	1403	6181
185	1410	6172
186	1417	6162
187	1424	6152
188	1431	6143
189	1438	6132
190	1445	6121
191	1451	6109
192	1458	6100
193	1465	6088
194	1471	6076
195	1478	6064
196	1485	6053
197	1491	6041
198	1498	6031
199	1504	6019
200	1511	6007
201	1517	5996
202	1524	5987
203	1531	5977
204	1538	5967
205	1546	5960
206	1553	5950
207	1560	5940
208	1566	5930
209	1573	5919
210	1580	5909
211	1587	5900
212	1594	5889
213	1601	5882
214	1608	5872
215	1615	5863
216	1621	5852
217	1628	5843
218	1637	5838
219	1644	5829
220	1651	5821
221	1659	5815
222	1667	5810
223	1675	5804
224	1682	5795
225	1690	5789
226	1698	5783
227	1705	5773
228	1712	5764
229	1719	5756
230	1725	5745
231	1734	5740
232	1741	5732
233	1749	5725
234	1756	5716
235	1763	5708
236	1769	5697
237	1776	5687
238	1784	5680
239	1791	5672
240	1800	5669
241	1807	5662
242	1814	5653
243	1821	5643
244	1828	5635
245	1835	5626
246	1842	5617
247	1849	5607
248	1855	5597
249	1862	5588
250	1869	5577
251	1875	5568
252	1882	5558
253	1889	5548
254	1895	5539
255	1902	5530
256	1910	5522
257	1917	5514
258	1924	5504
259	1930	5495
260	1937	5485
261	1944	5477
262	1951	5467
263	1957	5457
264	1964	5447
265	1970	5438
266	1977	5429
267	1985	5421
268	1991	5412
269	1998	5402
270	2005	5394
271	2011	5385
272	2018	5376
273	2025	5366
274	2032	5357
275	2038	5348
276	2045	5339
277	2053	5333
278	2060	5323
279	2066	5314
280	2073	5305
281	2080	5296
282	2087	5287
283	2093	5277
284	2100	5269
285	2106	5259
286	2113	5250
287	2120	5242
288	2126	5232
289	2134	5225
290	2140	5216
291	2148	5208
292	2155	5200
293	2161	5191
294	2169	5184
295	2176	5177
296	2183	5168
297	2190	5160
298	2198	5153
299	2204	5144
300	2212	5138
301	2219	5130
302	2226	5122
303	2233	5114
304	2240	5104
305	2247	5097
306	2254	5089
307	2261	5081
308	2268	5073
309	2277	5068
310	2284	5060
311	2291	5052
312	2298	5044
313	2305	5036
314	2311	5027
315	2318	5019
316	2326	5012
317	2332	5003
318	2339	4995
319	2346	4986
320	2353	4978
321	2360	4971
322	2368	4964
323	2375	4957
324	2383	4950
325	2391	4943
326	2398	4935
327	2405	4929
328	2412	4921
329	2419	4913
330	2426	4904
331	2433	4895
332	2440	4888
333	2447	4879
334	2453	4871
335	2460	4862
336	2467	4854
337	2474	4846
338	2481	4837
339	2488	4829
340	2494	4821
341	2502	4814
342	2508	4805
343	2516	4798
344	2522	4789
345	2529	4781
346	2536	4773
347	2543	4764
348	2549	4756
349	2556	4747
350	2564	4741
351	2570	4732
352	2612	4788
353	2619	4780
354	2629	4777
355	2636	4768
356	2642	4759
357	2649	4751
358	2656	4743
359	2662	4734
360	2669	4725
361	2676	4716
362	2683	4708
363	2689	4699
364	2696	4691
365	2703	4682
366	2710	4675
367	2717	4666
368	2724	4658
369	2731	4650
370	2738	4643
371	2745	4635
372	2752	4627
373	2760	4619
374	2766	4611
375	2774	4604
376	2781	4596
377	2790	4592
378	2800	4589
379	2812	4588
380	2824	4588
381	2836	4588
382	2845	4583
383	2852	4576
384	2861	4570
385	2868	4562
386	2875	4555
387	2882	4546
388	2889	4538
389	2896	4530
390	2903	4521
391	2909	4513
392	2916	4505
393	2923	4497
394	2930	4488
395	2938	4481
396	2945	4473
397	2951	4464
398	2959	4457
399	2965	4448
400	2972	4440
401	2979	4432
402	2986	4424
403	2993	4415
404	3000	4407
405	3006	4399
406	3014	4391
407	3021	4383
408	3027	4375
409	3034	4367
410	3042	4359
411	3049	4351
412	3055	4343
413	3062	4334
414	3069	4326
415	3076	4318
416	3082	4310
417	3089	4301
418	3096	4294
419	3103	4286
420	3110	4277
421	3117	4269
422	3123	4261
423	3131	4254
424	3137	4245
425	3144	4237
426	3151	4229
427	3158	4221
428	3165	4213
429	3172	4204
430	3179	4197
431	3186	4189
432	3193	4182
433	3201	4174
434	3208	4167
435	3215	4159
436	3222	4151
437	3229	4143
438	3236	4135
439	3243	4127
440	3250	4119
441	3256	4111
442	3263	4103
443	3270	4095
444	3277	4087
445	3284	4079
446	3291	4071
447	3297	4063
448	3304	4055
449	3310	4046
450	3317	4038
451	3324	4030
452	3331	4022
453	3337	4014
454	3344	4006
